2011 Old Faithful Geyser Eruptions

All times are local time (MST or MDT)

  Time and Date     Interval
  
01/21/11 19:47:33,  1:33:30
01/21/11 21:23:15,  1:35:42
01/21/11 23:06:39,  1:43:24
01/22/11 00:33:33,  1:26:54
01/22/11 02:25:45,  1:52:12
01/22/11 03:52:39,  1:26:54
01/22/11 05:27:15,  1:34:36
01/22/11 06:59:39,  1:32:24
01/22/11 08:38:39,  1:39:00
01/22/11 10:04:27,  1:25:48
01/22/11 11:45:39,  1:41:12
01/22/11 13:23:33,  1:37:54
01/22/11 14:59:15,  1:35:42
01/22/11 16:23:57,  1:24:42
01/22/11 17:59:39,  1:35:42
01/22/11 19:22:09,  1:22:30
01/22/11 20:56:45,  1:34:36
01/22/11 22:29:09,  1:32:24
01/23/11 00:02:39,  1:33:30
01/23/11 01:42:45,  1:40:06
01/23/11 03:16:15,  1:33:30
01/23/11 04:50:51,  1:34:36
01/23/11 05:53:33,  1:02:42
01/23/11 07:38:03,  1:44:30
01/23/11 09:01:39,  1:23:36
01/23/11 10:37:21,  1:35:42
01/23/11 11:42:15,  1:04:54
01/23/11 13:31:09,  1:48:54
01/23/11 15:00:15,  1:29:06
01/23/11 16:26:03,  1:25:48
01/23/11 18:11:39,  1:45:36
01/23/11 19:48:27,  1:36:48
01/23/11 21:18:39,  1:30:12
01/23/11 22:45:33,  1:26:54
01/24/11 00:16:51,  1:31:18
01/24/11 01:32:45,  1:15:54
01/24/11 03:07:21,  1:34:36
01/24/11 04:30:57,  1:23:36
01/24/11 06:03:21,  1:32:24
01/24/11 07:39:03,  1:35:42
01/24/11 09:16:57,  1:37:54
01/24/11 10:11:57,  0:55:00
01/24/11 11:50:57,  1:39:00
01/24/11 13:20:03,  1:29:06
01/24/11 14:49:09,  1:29:06
01/24/11 16:24:51,  1:35:42
01/24/11 17:46:15,  1:21:24
01/24/11 19:24:09,  1:37:54
01/24/11 21:07:33,  1:43:24
01/24/11 22:31:09,  1:23:36
01/24/11 23:58:03,  1:26:54
